hour,bin,degree_hour,temp_mean,count_hours_in_bin,count_hour_spring,count_hour_summer,count_hour_fall,count_hour_winter,city,state-prov
0,"(-100.0, -29.2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abee AgDM,AB
0,"(-29.2, -26.4]",5.691666666666666,-27.233333333333334,3.0,0.0,0.0,0.0,3.0,Abee AgDM,AB
0,"(-26.4, -23.6]",5.4750000000000005,-25.5,3.0,0.0,0.0,0.0,3.0,Abee AgDM,AB
0,"(-23.6, -20.8]",13.475000000000001,-22.125,8.0,0.0,0.0,2.0,6.0,Abee AgDM,AB
0,"(-20.8, -18.0]",20.6625,-19.846153846153847,13.0,1.0,0.0,6.0,6.0,Abee AgDM,AB
0,"(-18.0, -15.2]",33.3125,-16.460869565217394,23.0,1.0,0.0,7.0,15.0,Abee AgDM,AB
0,"(-15.2, -12.4]",18.883333333333333,-14.071428571428571,14.0,2.0,0.0,3.0,9.0,Abee AgDM,AB
0,"(-12.4, -9.6]",15.75,-10.776923076923076,13.0,0.0,0.0,6.0,7.0,Abee AgDM,AB
0,"(-9.6, -6.8]",29.754166666666666,-8.148148148148149,27.0,0.0,0.0,7.0,20.0,Abee AgDM,AB
0,"(-6.8, -4.0]",31.629166666666666,-5.421875,32.0,9.0,0.0,11.0,12.0,Abee AgDM,AB
0,"(-4.0, -1.2]",27.941666666666666,-2.65625,32.0,15.0,0.0,14.0,3.0,Abee AgDM,AB
0,"(-1.2, 1.6]",21.695833333333336,0.3448275862068966,29.0,11.0,3.0,10.0,5.0,Abee AgDM,AB
0,"(1.6, 4.4]",21.866666666666667,2.864705882352941,34.0,15.0,3.0,15.0,1.0,Abee AgDM,AB
0,"(4.4, 7.2]",16.82916666666667,6.0606060606060606,33.0,14.0,11.0,8.0,0.0,Abee AgDM,AB
0,"(7.2, 10.0]",16.270833333333336,8.5375,40.0,10.0,28.0,2.0,0.0,Abee AgDM,AB
0,"(10.0, 12.8]",11.312500000000002,11.355,39.0,11.0,28.0,0.0,0.0,Abee AgDM,AB
0,"(12.8, 100.0]",2.4958333333333336,14.766666666666667,16.0,3.0,13.0,0.0,0.0,Abee AgDM,AB
1,"(-100.0, -29.2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abee AgDM,AB
1,"(-29.2, -26.4]",7.541666666666667,-26.95,4.0,0.0,0.0,0.0,4.0,Abee AgDM,AB
1,"(-26.4, -23.6]",5.4625,-25.400000000000002,3.0,0.0,0.0,0.0,3.0,Abee AgDM,AB
1,"(-23.6, -20.8]",21.695833333333336,-21.753846153846155,13.0,0.0,0.0,6.0,7.0,Abee AgDM,AB
1,"(-20.8, -18.0]",18.8875,-19.474999999999998,12.0,1.0,0.0,4.0,7.0,Abee AgDM,AB
1,"(-18.0, -15.2]",23.145833333333332,-16.41875,16.0,1.0,0.0,4.0,11.0,Abee AgDM,AB
1,"(-15.2, -12.4]",21.5875,-14.08125,16.0,2.0,0.0,3.0,11.0,Abee AgDM,AB
1,"(-12.4, -9.6]",16.9125,-10.692857142857141,14.0,0.0,0.0,6.0,8.0,Abee AgDM,AB
